                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93399,                  1.748,                 1.0056,                 1.0702,                0.80348,                0.51645,                 0.5224,                0.36077,                 0.7758,                0.48248,                0.48012,                 0.2668,                 1.0216,                  1.696,                0.87825,                 1.0312,             0.00033242,             0.00033242,             0.00033242
                      2,                0.88309,                 1.5501,                  0.767,                 1.0228,                0.83527,                0.56333,                0.55917,                0.36612,                0.82016,                0.55191,                0.52223,                0.29016,                 1.0997,                 1.4039,                0.80173,                 1.0304,             0.00064927,             0.00064927,             0.00064927
                      3,                0.88774,                 1.5139,                0.74743,                 1.0219,                0.82953,                0.52418,                0.55638,                0.36497,                0.82161,                0.53034,                0.53827,                0.33415,                 1.1687,                 1.4153,                 0.8307,                 1.0383,             0.00094963,             0.00094963,             0.00094963
                      4,                0.86574,                 1.4357,                0.71826,                 1.0068,                0.52535,                0.61857,                0.59657,                0.40451,                0.51599,                0.60793,                0.57755,                0.34815,                 1.0528,                 1.4027,                0.74599,                 1.0075,             0.00092575,             0.00092575,             0.00092575
                      5,                0.84342,                 1.4111,                0.69287,                0.99621,                0.84457,                0.56775,                0.58836,                0.42018,                0.82161,                0.54553,                 0.5498,                0.31399,                0.90177,                 1.3124,                0.70642,                0.95283,               0.000901,               0.000901,               0.000901
                      6,                0.81324,                 1.3357,                0.65823,                0.98358,                0.74359,                0.64704,                0.67028,                0.46235,                0.66746,                0.61615,                0.58135,                0.36432,                0.94624,                 1.2841,                0.64071,                0.94327,             0.00087625,             0.00087625,             0.00087625
                      7,                0.80025,                 1.3191,                0.63983,                 0.9814,                0.86512,                0.56406,                0.65456,                0.43893,                0.85332,                0.55396,                0.59735,                0.35622,                0.98508,                 1.2322,                0.66874,                0.96744,              0.0008515,              0.0008515,              0.0008515
                      8,                0.78072,                  1.269,                0.61545,                0.96832,                0.76868,                0.66534,                0.67978,                0.46726,                0.68557,                0.59164,                0.58215,                0.33802,                0.87147,                 1.2597,                0.64696,                0.94498,             0.00082675,             0.00082675,             0.00082675
                      9,                0.75031,                 1.2127,                  0.595,                0.95599,                0.79189,                0.65045,                0.67108,                0.47822,                0.76112,                 0.5752,                0.60075,                0.36185,                0.89469,                 1.1404,                0.64978,                0.94777,               0.000802,               0.000802,               0.000802
                     10,                0.74818,                 1.2153,                0.58593,                0.95677,                0.71117,                 0.6835,                0.66394,                0.46488,                0.67022,                0.64463,                0.61159,                0.35399,                0.89979,                 1.1784,                0.62247,                0.94896,             0.00077725,             0.00077725,             0.00077725
